observation_date,D10NINC_PCH,DR10TAST_PCH,D10LFN_PCH,D10QWATLLNUI_PCH,RESPPALTF10NWW_PCH,D10WUPSHO_PCH,D10WSHOMCB_PCH,D10WSHOL_PCH,D10WLOCL_PCH,,observation_date,D10ROA_PCH,D10LSTL_PCH,D10ROE_PCH
2016-04-01,107.5,1.0,,0.9,,3.6,5.9,5.9,-27.8,,2016-04-01,2.8,-7.1,2.5
2016-07-01,56.0,0.9,,0.5,,-1.2,0.9,0.9,0.0,,2016-07-01,4.5,3.8,3.6
2016-10-01,30.1,2.4,,0.9,,-2.1,-0.2,-0.2,23.1,,2016-10-01,-3.4,7.4,-2.8
2017-01-01,-73.8,0.9,,4.8,,-2.4,0.7,0.2,6.3,,2017-01-01,0.9,-3.4,2.3
2017-04-01,105.8,1.0,,0.5,,-0.4,2.6,1.9,-23.5,,2017-04-01,2.6,3.6,1.9
2017-07-01,48.8,-1.2,,-1.8,,-1.8,0.2,0.2,0.0,,2017-07-01,0.9,-17.2,-0.2
2017-10-01,27.0,0.8,,0.8,,-2.1,0.0,-0.2,23.1,,2017-10-01,-5.1,12.5,-5.5
2018-01-01,-69.5,0.4,,4.1,,-2.5,-0.4,-0.8,206.3,,2018-01-01,17.9,-14.8,17.9
2018-04-01,105.6,0.5,,-0.4,,6.0,7.9,7.6,398.0,,2018-04-01,3.8,4.3,4.0
2018-07-01,53.2,0.5,,0.5,,-1.6,-0.6,-0.8,-0.4,,2018-07-01,2.2,0.0,2.0
2018-10-01,30.1,2.7,,0.8,,-3.2,-2.4,-2.7,51.9,,2018-10-01,-2.9,16.7,-3.2
2019-01-01,-76.8,0.0,,1.8,,-3.3,-2.8,-2.9,385.9,,2019-01-01,-9.6,-7.1,-10.9
2019-04-01,113.4,1.6,,0.7,,-8.0,-7.8,-7.9,-71.1,,2019-04-01,6.5,7.7,4.5
2019-07-01,55.3,2.1,,1.0,,-4.3,-4.9,-3.5,-28.5,,2019-07-01,2.3,3.6,1.5
2019-10-01,30.9,1.6,,0.5,,-1.9,-4.2,1.5,11.9,,2019-10-01,-2.2,10.3,-2.7
2020-01-01,-80.3,2.6,,4.6,,-1.9,-3.6,4.4,2874.5,,2020-01-01,-25.2,-18.8,-25.6
2020-04-01,125.2,9.8,,2.6,,,,,598.9,,2020-04-01,7.1,0.0,11.1
2020-07-01,66.1,1.3,,2.5,,,,,-98.7,,2020-07-01,8.6,-7.7,9.1
2020-10-01,,,,,,,,,-31.4,,,,,
2021-01-01,,,,,,,,,915.6,,,,,
2021-04-01,,,,,,,,,181.6,,,,,
2021-07-01,,,,,,,,,-44.8,,,,,
2021-10-01,,,,,,,,,4.6,,,,,
2022-01-01,,,,,,,,,-3.5,,,,,
2022-04-01,,,,,,,,,-93.6,,,,,
